call_id,call_date,call_month,member_type,call_channel,call_reason,agent_id,queue_name,wait_time_sec,handle_time_sec,call_outcome,first_call_resolution,sla_target_sec,sla_met,escalated_flag,abandoned_flag
1,2024-07-01 00:00:00,2024-07,Medicaid,Phone,Prior Authorization,2014,Claims Queue,114,325,Resolved,No,90,No,0,0
2,2024-07-01 01:00:00,2024-07,Medicare,Phone,Provider Inquiry,2003,Enrollment Queue,62,248,Resolved,Yes,90,Yes,0,0
3,2024-07-01 02:00:00,2024-07,Medicaid,Phone,System Access,2040,Benefits Queue,109,115,Abandoned,Yes,60,No,0,1
4,2024-07-01 03:00:00,2024-07,Medicare,Phone,System Access,2040,Enrollment Queue,208,396,Resolved,Yes,90,No,0,0
5,2024-07-01 04:00:00,2024-07,Commercial,Phone,Provider Inquiry,2023,Claims Queue,123,882,Resolved,Yes,30,No,0,0
6,2024-07-01 05:00:00,2024-07,Medicare,Phone,Claims Status,2025,Enrollment Queue,91,490,Escalated,Yes,90,No,1,0
7,2024-07-01 06:00:00,2024-07,Medicare,Phone,Billing,2052,Benefits Queue,179,156,Resolved,No,90,No,0,0
8,2024-07-01 07:00:00,2024-07,Medicaid,Phone,Prior Authorization,2040,Claims Queue,96,472,Resolved,Yes,60,No,0,0
9,2024-07-01 08:00:00,2024-07,Medicaid,Portal,Prior Authorization,2043,Claims Queue,49,343,Escalated,Yes,30,No,1,0
10,2024-07-01 09:00:00,2024-07,Medicare,Portal,Enrollment,2039,Claims Queue,40,349,Resolved,Yes,90,Yes,0,0
11,2024-07-01 10:00:00,2024-07,Medicare,Phone,Provider Inquiry,2008,Enrollment Queue,159,227,Resolved,Yes,60,No,0,0
12,2024-07-01 11:00:00,2024-07,Commercial,Phone,System Access,2029,Enrollment Queue,77,427,Resolved,No,60,No,0,0
13,2024-07-01 12:00:00,2024-07,Medicaid,Phone,Benefits Coverage,2015,Enrollment Queue,147,281,Resolved,Yes,30,No,0,0
14,2024-07-01 13:00:00,2024-07,Medicaid,Phone,Claims Status,2055,Enrollment Queue,226,300,Resolved,Yes,60,No,0,0
15,2024-07-01 14:00:00,2024-07,Medicaid,IVR,Billing,2037,Benefits Queue,94,452,Resolved,Yes,30,No,0,0
16,2024-07-01 15:00:00,2024-07,Commercial,Phone,Billing,2033,Enrollment Queue,27,457,Escalated,Yes,90,Yes,1,0
17,2024-07-01 16:00:00,2024-07,Medicaid,Phone,Claims Status,2018,Benefits Queue,128,251,Escalated,No,60,No,1,0
18,2024-07-01 17:00:00,2024-07,Medicare,Phone,Billing,2046,Enrollment Queue,78,223,Resolved,Yes,30,No,0,0
19,2024-07-01 18:00:00,2024-07,Commercial,Phone,Benefits Coverage,2021,Benefits Queue,45,345,Resolved,No,60,Yes,0,0
20,2024-07-01 19:00:00,2024-07,Medicaid,Phone,Enrollment,2052,Benefits Queue,122,129,Resolved,Yes,30,No,0,0
21,2024-07-01 20:00:00,2024-07,Medicare,Phone,System Access,2053,Benefits Queue,77,298,Resolved,Yes,30,No,0,0
22,2024-07-01 21:00:00,2024-07,Commercial,Portal,System Access,2059,Benefits Queue,58,174,Resolved,Yes,60,Yes,0,0
23,2024-07-01 22:00:00,2024-07,Medicaid,Phone,Enrollment,2019,Claims Queue,54,489,Escalated,Yes,90,Yes,1,0
24,2024-07-01 23:00:00,2024-07,Medicare,IVR,Prior Authorization,2013,Claims Queue,30,558,Resolved,Yes,30,Yes,0,0
25,2024-07-02 00:00:00,2024-07,Commercial,Portal,Claims Status,2041,Enrollment Queue,175,183,Abandoned,No,60,No,0,1
26,2024-07-02 01:00:00,2024-07,Medicaid,Phone,Enrollment,2024,Claims Queue,16,70,Resolved,Yes,90,Yes,0,0
27,2024-07-02 02:00:00,2024-07,Medicare,IVR,Billing,2054,Claims Queue,57,126,Resolved,Yes,90,Yes,0,0
28,2024-07-02 03:00:00,2024-07,Medicare,Phone,Prior Authorization,2041,Benefits Queue,104,495,Resolved,Yes,30,No,0,0
29,2024-07-02 04:00:00,2024-07,Medicare,Phone,Enrollment,2038,Benefits Queue,147,268,Abandoned,No,90,No,0,1
30,2024-07-02 05:00:00,2024-07,Medicare,Phone,Prior Authorization,2010,Enrollment Queue,144,164,Resolved,Yes,60,No,0,0
31,2024-07-02 06:00:00,2024-07,Medicaid,Phone,Claims Status,2008,Claims Queue,57,659,Resolved,Yes,30,No,0,0
32,2024-07-02 07:00:00,2024-07,Medicare,IVR,System Access,2032,Enrollment Queue,146,286,Abandoned,Yes,30,No,0,1
33,2024-07-02 08:00:00,2024-07,Medicaid,Phone,Enrollment,2008,Claims Queue,40,241,Resolved,Yes,90,Yes,0,0
34,2024-07-02 09:00:00,2024-07,Medicare,Phone,Billing,2028,Claims Queue,73,218,Escalated,No,60,No,1,0
35,2024-07-02 10:00:00,2024-07,Medicaid,IVR,Provider Inquiry,2057,Benefits Queue,85,336,Resolved,Yes,60,No,0,0
36,2024-07-02 11:00:00,2024-07,Commercial,Phone,Benefits Coverage,2013,Claims Queue,74,314,Escalated,No,90,Yes,1,0
37,2024-07-02 12:00:00,2024-07,Medicare,Phone,Provider Inquiry,2004,Enrollment Queue,59,132,Abandoned,No,90,Yes,0,1
38,2024-07-02 13:00:00,2024-07,Medicaid,Portal,System Access,2042,Benefits Queue,50,510,Resolved,No,60,Yes,0,0
39,2024-07-02 14:00:00,2024-07,Medicare,Phone,Provider Inquiry,2033,Benefits Queue,54,339,Abandoned,No,30,No,0,1
40,2024-07-02 15:00:00,2024-07,Medicaid,Phone,Prior Authorization,2014,Benefits Queue,31,156,Resolved,Yes,30,No,0,0
41,2024-07-02 16:00:00,2024-07,Medicare,Phone,Provider Inquiry,2003,Claims Queue,104,331,Resolved,Yes,30,No,0,0
42,2024-07-02 17:00:00,2024-07,Medicaid,Phone,System Access,2029,Enrollment Queue,18,147,Resolved,Yes,90,Yes,0,0
43,2024-07-02 18:00:00,2024-07,Medicare,Portal,Benefits Coverage,2041,Enrollment Queue,211,184,Resolved,Yes,60,No,0,0
44,2024-07-02 19:00:00,2024-07,Medicaid,Portal,Benefits Coverage,2024,Claims Queue,225,87,Abandoned,Yes,60,No,0,1
45,2024-07-02 20:00:00,2024-07,Medicare,Phone,Provider Inquiry,2008,Claims Queue,56,310,Resolved,Yes,90,Yes,0,0
46,2024-07-02 21:00:00,2024-07,Medicare,IVR,Provider Inquiry,2004,Enrollment Queue,86,377,Resolved,Yes,60,No,0,0
47,2024-07-02 22:00:00,2024-07,Medicaid,IVR,Benefits Coverage,2044,Enrollment Queue,67,200,Resolved,No,30,No,0,0
48,2024-07-02 23:00:00,2024-07,Commercial,Phone,System Access,2028,Claims Queue,213,153,Resolved,Yes,60,No,0,0
49,2024-07-03 00:00:00,2024-07,Medicaid,Phone,Benefits Coverage,2033,Claims Queue,87,376,Resolved,No,60,No,0,0
50,2024-07-03 01:00:00,2024-07,Medicare,Phone,System Access,2045,Enrollment Queue,45,144,Escalated,No,30,No,1,0
